id,time,FFFS,BIS,BAS,GDP,I,RI,RR
104,1,12,35,83,26,22,10,25
104,2,9,35,85,28,21,13,23
104,3,9,30,87,27,22,13,25
104,4,8,26,81,28,20,11,22
105,1,11,36,80,25,17,12,26
105,2,14,48,74,23,18,10,23
105,3,16,48,82,24,15,15,28
105,4,12,48,83,28,17,9,29
106,1,13,34,86,25,21,16,24
107,1,15,38,76,23,19,10,24
107,2,19,36,80,24,20,9,27
107,3,15,39,75,21,21,11,22
107,4,15,42,77,22,21,11,23
108,1,19,40,82,26,22,13,21
108,2,28,48,91,28,24,13,26
108,4,20,33,80,23,24,13,20
109,1,12,26,81,24,21,13,23
109,2,9,28,87,24,21,15,27
109,3,10,29,87,23,23,15,26
110,1,23,41,71,23,15,11,22
110,2,19,47,71,24,16,9,22
110,3,18,39,73,23,16,11,23
111,1,20,47,87,21,27,12,27
112,1,18,42,94,24,26,16,28
112,2,15,40,89,23,24,14,28
112,3,12,39,95,23,26,16,30
112,4,12,41,88,26,25,16,21
113,1,19,46,67,17,22,9,19
113,2,20,51,77,20,25,11,21
113,3,19,44,75,20,21,12,22
113,4,25,52,70,17,19,10,24
114,1,16,52,68,21,16,14,17
115,1,10,31,68,28,10,9,21
115,2,13,36,70,27,11,9,23
115,3,13,29,71,27,10,10,24
115,4,13,32,74,28,11,11,24
116,1,22,46,60,27,12,6,15
116,2,21,44,62,28,14,5,15
116,3,16,40,56,25,10,5,16
116,4,14,45,61,26,16,5,14
117,1,23,36,70,23,14,11,22
117,2,24,32,77,24,18,10,25
117,3,23,33,68,22,16,10,20
117,4,26,36,77,20,17,13,27
118,1,16,25,63,21,14,9,19
118,2,14,29,72,21,20,8,23
118,3,13,27,72,22,19,9,22
118,4,18,29,74,22,18,8,26
119,1,12,38,81,25,20,9,27
119,2,11,34,73,26,14,7,26
119,3,12,38,73,25,15,9,24
119,4,12,40,78,22,18,9,29
120,1,13,38,53,18,11,7,17
120,2,14,44,58,19,12,7,20
120,3,17,43,63,22,13,7,21
120,4,12,41,53,18,10,4,21
121,1,8,19,56,15,20,8,13
121,3,8,18,59,14,23,7,15
122,1,14,28,78,27,15,12,24
122,2,15,27,76,25,18,12,21
122,3,13,27,76,25,16,12,23
123,1,13,45,58,26,12,5,15
123,2,13,40,61,26,13,5,17
123,3,19,50,75,21,20,13,21
123,4,13,31,63,23,11,14,15
124,1,10,20,60,21,13,9,17
124,2,12,21,56,23,9,8,16
124,3,13,27,70,25,14,9,22
124,4,13,22,72,26,11,14,21
125,1,13,37,71,20,16,11,24
125,2,14,43,71,21,15,10,25
125,3,15,38,70,19,17,10,24
125,4,18,35,73,22,14,10,27
126,1,15,41,73,25,16,6,26
126,2,16,39,75,24,16,10,25
126,3,16,39,75,24,17,9,25
126,4,14,44,73,25,15,6,27
127,1,25,51,66,24,15,9,18
127,2,27,55,68,27,17,6,18
127,3,26,48,57,22,15,5,15
127,4,30,56,66,22,18,6,20
128,1,10,36,57,24,8,9,16
128,2,9,25,55,23,9,8,15
128,3,8,32,58,24,10,8,16
128,4,13,30,64,26,12,8,18
129,1,17,42,73,22,17,11,23
129,2,15,35,68,23,15,10,20
129,3,17,37,64,20,13,11,20
129,4,11,29,65,21,12,11,21
130,1,19,29,65,19,17,9,20
130,2,22,33,69,18,18,10,23
130,3,20,38,68,20,17,9,22
130,4,18,41,67,19,20,10,18
131,1,20,47,67,18,20,8,21
131,2,16,40,59,17,14,7,21
131,3,20,43,63,18,18,10,17
131,4,16,45,68,19,18,8,23
132,1,13,46,75,26,19,8,22
132,2,13,39,68,27,15,8,18
133,1,25,49,66,19,17,10,20
133,2,30,57,75,22,18,7,28
133,3,29,57,75,23,17,9,26
133,4,29,55,87,23,22,12,30
134,1,19,33,74,27,17,8,22
134,2,12,32,78,27,20,11,20
134,3,17,28,64,23,19,8,14
134,4,14,37,71,27,16,11,17
135,1,13,37,73,24,12,10,27
135,2,17,40,68,25,11,9,23
135,3,15,32,61,23,10,8,20
135,4,11,31,67,22,13,9,23
136,1,23,35,76,20,21,12,23
136,2,17,30,84,25,22,14,23
136,3,20,34,84,24,21,14,25
136,4,21,25,80,26,19,12,23
137,1,20,39,53,13,17,8,15
138,1,12,31,66,16,17,9,24
138,2,16,40,69,19,17,9,24
138,3,17,34,66,18,16,10,22
139,1,16,20,65,22,16,10,17
139,2,10,20,62,20,16,10,16
139,3,17,24,76,22,17,12,25
139,4,17,31,72,23,14,11,24
140,1,24,42,70,19,17,11,23
140,2,19,45,71,20,18,9,24
140,3,26,40,67,17,17,12,21
140,4,24,49,72,22,19,10,21
141,1,19,47,64,21,16,9,18
141,2,18,42,60,21,15,6,18
141,3,23,48,62,20,17,5,20
142,1,13,21,63,22,15,8,18
142,2,15,21,53,14,17,6,16
142,3,10,22,52,17,11,9,15
142,4,13,21,60,17,15,10,18
143,1,24,26,55,18,13,9,15
143,2,21,27,60,24,13,8,15
143,3,20,24,60,26,11,8,15
144,1,20,26,81,28,18,11,24
144,3,17,36,82,28,17,14,23
144,4,21,36,75,25,19,12,19
145,1,15,31,74,22,16,12,24
145,2,19,39,72,23,16,12,21
145,3,24,50,83,24,19,14,26
145,4,22,47,72,20,16,12,24
